D_crit,kappa,crit_cv
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
57.5990,0.13119,0.77899
57.5990,0.13119,0.77899
57.5990,0.13119,0.77899
57.5990,0.13119,0.77899
55.7389,0.13582,0.75634
57.1844,0.14046,0.80278
57.1844,0.14046,0.80278
57.1844,0.14046,0.80278
57.1844,0.14046,0.80278
57.1844,0.14046,0.80278
57.1844,0.14046,0.80278
57.1844,0.14046,0.80278
57.1844,0.14046,0.80278
57.1844,0.14046,0.80278
57.1844,0.14046,0.80278
57.1844,0.14046,0.80278
56.5916,0.14184,0.74163
55.2820,0.14356,0.77923
55.2820,0.14356,0.77923
55.2820,0.14356,0.77923
55.2820,0.14356,0.77923
54.1595,0.12862,0.73974
54.1595,0.12862,0.73974
55.4739,0.13734,0.70937
55.4739,0.13734,0.70937
55.4739,0.13734,0.70937
55.4739,0.13734,0.70937
53.8120,0.13031,0.64401
53.8120,0.13031,0.64401
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
49.5233,0.13009,0.66550
53.2028,0.12846,0.67500
51.8865,0.13445,0.71053
51.8865,0.13445,0.71053
51.8865,0.13445,0.71053
53.1029,0.12963,0.74937
53.1029,0.12963,0.74937
51.1794,0.13415,0.73526
54.3912,0.13544,0.73735
54.3912,0.13544,0.73735
54.4859,0.12768,0.77862
54.4859,0.12768,0.77862
54.4859,0.12768,0.77862
54.4859,0.12768,0.77862
54.4859,0.12768,0.77862
54.1653,0.13251,0.85186
54.1653,0.13251,0.85186
54.1653,0.13251,0.85186
54.1653,0.13251,0.85186
54.1653,0.13251,0.85186
54.1653,0.13251,0.85186
54.1653,0.13251,0.85186
54.1653,0.13251,0.85186
