x,c,branch
0.223192,0.449480,unstable
0.224194,0.449549,unstable
0.225195,0.449629,unstable
0.226196,0.449719,unstable
0.227197,0.449820,unstable
0.228198,0.449931,unstable
0.229199,0.450054,unstable
0.230200,0.450187,unstable
0.231201,0.450330,unstable
0.232202,0.450485,unstable
0.233204,0.450650,unstable
0.234205,0.450826,unstable
0.235206,0.451013,unstable
0.236207,0.451211,unstable
0.237208,0.451420,unstable
0.238209,0.451640,unstable
0.239210,0.451871,unstable
0.240211,0.452112,unstable
0.241212,0.452365,unstable
0.242214,0.452630,unstable
0.243215,0.452905,unstable
0.244216,0.453191,unstable
0.245217,0.453489,unstable
0.246218,0.453798,unstable
0.247219,0.454118,unstable
0.248220,0.454450,unstable
0.249221,0.454793,unstable
0.250222,0.455147,unstable
0.251224,0.455513,unstable
0.252225,0.455890,unstable
0.253226,0.456279,unstable
0.254227,0.456680,unstable
0.255228,0.457092,unstable
0.256229,0.457515,unstable
0.257230,0.457951,unstable
0.258231,0.458398,unstable
0.259232,0.458857,unstable
0.260234,0.459328,unstable
0.261235,0.459810,unstable
0.262236,0.460305,unstable
0.263237,0.460811,unstable
0.264238,0.461330,unstable
0.265239,0.461860,unstable
0.266240,0.462403,unstable
0.267241,0.462958,unstable
0.268242,0.463525,unstable
0.269244,0.464104,unstable
0.270245,0.464695,unstable
0.271246,0.465299,unstable
0.272247,0.465915,unstable
0.273248,0.466543,unstable
0.274249,0.467184,unstable
0.275250,0.467838,unstable
0.276251,0.468504,unstable
0.277253,0.469182,unstable
0.278254,0.469873,unstable
0.279255,0.470577,unstable
0.280256,0.471294,unstable
0.281257,0.472023,unstable
0.282258,0.472765,unstable
0.283259,0.473520,unstable
0.284260,0.474288,unstable
0.285261,0.475069,unstable
0.286263,0.475862,unstable
0.287264,0.476669,unstable
0.288265,0.477489,unstable
0.289266,0.478323,unstable
0.290267,0.479169,unstable
0.291268,0.480029,unstable
0.292269,0.480902,unstable
0.293270,0.481788,unstable
0.294271,0.482688,unstable
0.295273,0.483601,unstable
0.296274,0.484527,unstable
0.297275,0.485468,unstable
0.298276,0.486421,unstable
0.299277,0.487389,unstable
0.300278,0.488370,unstable
0.301279,0.489365,unstable
0.302280,0.490374,unstable
0.303281,0.491396,unstable
0.304283,0.492433,unstable
0.305284,0.493484,unstable
0.306285,0.494548,unstable
0.307286,0.495627,unstable
0.308287,0.496719,unstable
0.309288,0.497826,unstable
0.310289,0.498948,unstable
0.311290,0.500083,unstable
0.312291,0.501233,unstable
0.313293,0.502397,unstable
0.314294,0.503575,unstable
0.315295,0.504769,unstable
0.316296,0.505976,unstable
0.317297,0.507198,unstable
0.318298,0.508435,unstable
0.319299,0.509687,unstable
0.320300,0.510953,unstable
0.321301,0.512235,unstable
0.322303,0.513531,unstable
0.323304,0.514842,unstable
0.324305,0.516168,unstable
0.325306,0.517509,unstable
0.326307,0.518865,unstable
0.327308,0.520236,unstable
0.328309,0.521622,unstable
0.329310,0.523024,unstable
0.330311,0.524441,unstable
0.331313,0.525873,unstable
0.332314,0.527321,unstable
0.333315,0.528785,unstable
0.334316,0.530263,unstable
0.335317,0.531758,unstable
0.336318,0.533268,unstable
0.337319,0.534793,unstable
0.338320,0.536335,unstable
0.339321,0.537892,unstable
0.340323,0.539465,unstable
0.341324,0.541055,unstable
0.342325,0.542660,unstable
0.343326,0.544281,unstable
0.344327,0.545918,unstable
0.345328,0.547571,unstable
0.346329,0.549241,unstable
0.347330,0.550926,unstable
0.348331,0.552629,unstable
0.349333,0.554347,unstable
0.350334,0.556082,unstable
0.351335,0.557833,unstable
0.352336,0.559601,unstable
0.353337,0.561386,unstable
0.354338,0.563187,unstable
0.355339,0.565005,unstable
0.356340,0.566840,unstable
0.357341,0.568691,unstable
0.358343,0.570559,unstable
0.359344,0.572445,unstable
0.360345,0.574347,unstable
0.361346,0.576266,unstable
0.362347,0.578203,unstable
0.363348,0.580156,unstable
0.364349,0.582127,unstable
0.365350,0.584116,unstable
0.366352,0.586121,unstable
0.367353,0.588144,unstable
0.368354,0.590184,unstable
0.369355,0.592242,unstable
0.370356,0.594317,unstable
0.371357,0.596411,unstable
0.372358,0.598521,unstable
0.373359,0.600650,unstable
0.374360,0.602796,unstable
0.375362,0.604960,unstable
0.376363,0.607142,unstable
0.377364,0.609342,unstable
0.378365,0.611560,unstable
0.379366,0.613796,unstable
0.380367,0.616051,unstable
0.381368,0.618323,unstable
0.382369,0.620614,unstable
0.383370,0.622923,unstable
0.384372,0.625250,unstable
0.385373,0.627596,unstable
0.386374,0.629960,unstable
0.387375,0.632343,unstable
0.388376,0.634745,unstable
0.389377,0.637165,unstable
