regime,Vb_n,Vb_next
sizer,17.1817,16.6371
sizer,16.6371,22.7117
sizer,22.7117,18.1993
sizer,18.1993,19.2874
sizer,19.2874,17.7672
sizer,17.7672,18.8786
sizer,18.8786,21.2923
sizer,21.2923,14.8235
sizer,14.8235,21.3468
sizer,21.3468,19.4363
sizer,19.4363,19.9922
sizer,19.9922,19.3126
sizer,19.3126,20.2388
sizer,20.2388,20.9215
sizer,20.9215,21.0123
sizer,21.0123,16.0371
sizer,16.0371,18.7715
sizer,18.7715,15.2078
sizer,15.2078,18.2146
sizer,18.2146,18.0065
sizer,18.0065,19.4763
sizer,19.4763,19.3352
sizer,19.3352,22.1632
sizer,22.1632,17.8557
sizer,17.8557,19.9679
sizer,19.9679,17.9827
sizer,17.9827,18.8912
sizer,18.8912,17.5374
sizer,17.5374,17.9497
sizer,17.9497,18.8181
sizer,18.8181,21.4794
sizer,21.4794,19.2774
sizer,19.2774,19.1516
sizer,19.1516,21.6949
sizer,21.6949,21.7155
sizer,21.7155,18.9679
sizer,18.9679,20.5850
sizer,20.5850,19.2008
sizer,19.2008,21.0573
sizer,21.0573,17.8907
sizer,17.8907,21.7972
sizer,21.7972,19.7968
sizer,19.7968,19.9606
sizer,19.9606,21.3452
sizer,21.3452,23.1268
sizer,23.1268,18.4899
sizer,18.4899,20.6619
sizer,20.6619,16.3384
sizer,16.3384,20.2958
sizer,20.2958,20.1147
sizer,20.1147,17.3667
sizer,17.3667,17.2145
sizer,17.2145,18.4153
sizer,18.4153,16.3544
sizer,16.3544,19.4354
sizer,19.4354,18.9016
sizer,18.9016,17.3873
sizer,17.3873,23.6346
sizer,23.6346,22.9938
sizer,22.9938,19.4096
sizer,19.4096,18.4111
sizer,18.4111,20.0194
sizer,20.0194,19.0510
sizer,19.0510,17.9685
sizer,17.9685,20.4048
sizer,20.4048,18.6172
sizer,18.6172,24.2099
sizer,24.2099,19.4085
sizer,19.4085,20.3504
sizer,20.3504,23.2630
sizer,23.2630,18.7706
sizer,18.7706,18.8662
sizer,18.8662,24.7462
sizer,24.7462,23.7337
sizer,23.7337,19.4180
sizer,19.4180,16.6800
sizer,16.6800,21.6029
sizer,21.6029,17.8619
sizer,17.8619,23.2227
sizer,23.2227,20.1497
sizer,20.1497,22.8173
sizer,22.8173,20.9846
sizer,20.9846,22.0176
sizer,22.0176,17.8283
sizer,17.8283,19.3761
sizer,19.3761,16.7947
sizer,16.7947,19.2740
sizer,19.2740,19.4502
sizer,19.4502,21.6608
sizer,21.6608,20.6172
sizer,20.6172,18.4729
sizer,18.4729,21.7599
sizer,21.7599,21.2809
sizer,21.2809,16.5113
sizer,16.5113,20.9844
sizer,20.9844,16.8731
sizer,16.8731,21.9427
sizer,21.9427,18.8387
sizer,18.8387,20.1112
sizer,20.1112,20.1698
sizer,20.1698,20.4064
sizer,20.4064,29.1331
sizer,29.1331,24.9262
sizer,24.9262,20.2284
sizer,20.2284,18.4483
sizer,18.4483,17.4117
sizer,17.4117,24.2600
sizer,24.2600,21.9019
sizer,21.9019,22.9740
sizer,22.9740,20.2110
sizer,20.2110,21.4961
sizer,21.4961,22.0855
sizer,22.0855,20.4287
sizer,20.4287,21.9414
sizer,21.9414,20.5269
sizer,20.5269,19.1169
sizer,19.1169,16.8851
sizer,16.8851,20.8529
sizer,20.8529,21.1412
sizer,21.1412,19.0546
sizer,19.0546,16.3874
sizer,16.3874,23.8096
sizer,23.8096,21.1264
sizer,21.1264,17.3576
sizer,17.3576,18.1904
sizer,18.1904,19.2822
