regime,Vb
sizer,18.4476
sizer,21.3625
sizer,15.6293
sizer,16.1884
sizer,15.2593
sizer,23.1228
sizer,19.1461
sizer,17.3017
sizer,16.3419
sizer,24.8511
sizer,19.0840
sizer,19.0202
sizer,20.7289
sizer,17.2226
sizer,16.9682
sizer,17.5657
sizer,13.7113
sizer,15.2675
sizer,23.8693
sizer,17.9165
sizer,21.6574
sizer,17.3617
sizer,21.2921
sizer,21.6595
sizer,18.3411
sizer,15.7958
sizer,17.7606
sizer,20.3492
sizer,17.1574
sizer,20.0118
sizer,16.4366
sizer,22.2894
sizer,23.2157
sizer,18.3115
sizer,21.2448
sizer,20.0167
sizer,22.6294
sizer,21.3654
sizer,24.3332
sizer,17.8059
sizer,21.5242
sizer,19.4647
sizer,21.4307
sizer,19.7496
sizer,21.1012
sizer,18.8030
sizer,21.7695
sizer,17.7113
sizer,22.2805
sizer,19.6090
sizer,18.1762
sizer,19.6773
sizer,21.4466
sizer,23.1725
sizer,19.3362
sizer,19.0808
sizer,21.6147
sizer,15.1738
sizer,14.1990
sizer,23.0491
sizer,14.9025
sizer,22.1109
sizer,20.4482
sizer,17.6500
sizer,18.8122
sizer,18.9654
sizer,19.8791
sizer,17.8726
sizer,20.3997
sizer,20.5370
sizer,17.1401
sizer,16.6978
sizer,20.2850
sizer,19.6606
sizer,18.4797
sizer,21.1287
sizer,19.3579
sizer,21.8656
sizer,18.5366
sizer,19.0062
sizer,20.5444
sizer,17.2938
sizer,20.9898
sizer,20.3991
sizer,18.1407
sizer,24.4331
sizer,17.8138
sizer,17.6599
sizer,14.9627
sizer,23.2553
sizer,20.2517
sizer,17.1438
sizer,23.3495
sizer,19.8458
sizer,16.1488
sizer,17.9401
sizer,19.2867
sizer,21.5465
sizer,24.2193
sizer,21.9392
sizer,20.1210
sizer,19.7291
sizer,21.2757
sizer,20.3309
sizer,19.6998
sizer,22.6698
sizer,21.6084
sizer,15.1509
sizer,21.3455
sizer,26.9949
sizer,19.4934
sizer,17.0132
sizer,19.8575
sizer,18.2905
sizer,21.0260
sizer,21.1683
sizer,19.8999
sizer,21.2447
sizer,17.2819
sizer,21.0991
sizer,24.1466
sizer,18.0035
sizer,17.6542
sizer,20.7546
sizer,19.9371
sizer,17.4861
sizer,21.1746
sizer,19.1687
sizer,22.0095
sizer,18.2690
sizer,17.3642
sizer,24.9189
sizer,15.6742
sizer,25.1922
sizer,17.2266
sizer,19.3948
sizer,22.3911
sizer,17.0985
sizer,20.2586
sizer,17.9183
sizer,18.1360
sizer,16.0119
sizer,20.3721
sizer,21.6389
sizer,20.8249
sizer,21.9305
sizer,18.5418
sizer,20.7996
sizer,20.1262
sizer,19.3675
sizer,22.7154
sizer,18.7905
sizer,21.0115
sizer,21.6032
sizer,22.5827
sizer,18.4576
sizer,22.0696
sizer,18.8806
sizer,20.9097
sizer,22.7284
sizer,15.7709
sizer,21.9519
sizer,17.6900
sizer,19.4324
sizer,20.4349
sizer,23.0927
sizer,20.9514
sizer,20.3134
sizer,19.8261
sizer,17.9055
sizer,21.2500
sizer,21.4753
sizer,21.2070
sizer,18.7180
sizer,17.5086
sizer,19.2897
sizer,18.4840
sizer,18.1673
sizer,19.8514
sizer,20.1011
sizer,20.6217
sizer,21.3465
sizer,20.4987
sizer,20.8311
sizer,21.1664
sizer,17.2933
sizer,17.2165
sizer,16.1486
sizer,16.4928
sizer,17.9526
sizer,16.7289
sizer,21.3375
sizer,22.3284
sizer,21.3997
sizer,23.7245
sizer,20.8057
sizer,15.7921
sizer,19.8301
sizer,24.8545
sizer,19.7054
sizer,19.6531
sizer,21.2046
sizer,20.3580
sizer,19.6226
sizer,19.6017
sizer,23.8986
sizer,20.2037
sizer,21.4168
sizer,20.1881
sizer,23.4382
sizer,16.9226
sizer,18.0145
sizer,17.2342
sizer,20.0363
sizer,19.8612
sizer,20.6465
sizer,22.8967
sizer,19.2476
sizer,19.0898
sizer,19.5986
sizer,19.0656
sizer,21.1738
sizer,21.8282
sizer,19.7070
sizer,24.1473
sizer,19.6996
sizer,22.8625
sizer,17.6832
sizer,19.3856
sizer,15.5350
sizer,16.5580
sizer,19.5805
sizer,17.7741
sizer,23.5108
sizer,19.7949
sizer,19.6502
sizer,22.2943
sizer,21.5794
sizer,21.5839
sizer,20.4714
sizer,17.4951
sizer,18.7454
sizer,17.9902
sizer,15.7530
sizer,18.6747
sizer,20.3865
sizer,18.1593
sizer,18.0326
sizer,17.6578
sizer,18.6636
sizer,17.5954
sizer,21.6338
sizer,20.1991
sizer,23.9243
sizer,20.6042
sizer,16.7252
sizer,24.9698
sizer,21.4337
sizer,22.0701
sizer,23.1840
sizer,14.7128
sizer,17.5957
sizer,21.9216
sizer,18.8763
sizer,20.3691
sizer,22.2883
sizer,15.6213
sizer,17.7887
sizer,22.8275
sizer,18.1060
sizer,16.3690
sizer,18.8005
sizer,13.1722
sizer,20.3634
sizer,21.9311
sizer,21.3381
sizer,19.4983
sizer,20.2265
sizer,15.9392
sizer,16.6359
sizer,16.3756
sizer,21.7579
sizer,21.7597
sizer,20.6383
sizer,19.4076
sizer,23.9845
sizer,21.6169
sizer,18.9601
sizer,16.6287
sizer,20.6240
sizer,20.4081
sizer,19.6345
sizer,20.1220
sizer,18.5907
sizer,25.2891
sizer,20.7826
sizer,17.0800
sizer,18.9633
sizer,22.0278
sizer,17.6445
sizer,22.6462
sizer,17.8418
sizer,18.5427
sizer,18.6003
sizer,25.2373
sizer,18.3032
sizer,20.9772
sizer,21.0725
sizer,19.1296
sizer,22.2906
sizer,20.4226
sizer,16.9306
sizer,17.8475
sizer,21.8632
sizer,22.4894
sizer,19.9149
sizer,23.4970
sizer,19.6876
sizer,24.0484
sizer,20.3100
sizer,20.0873
sizer,19.7052
sizer,16.4395
sizer,21.3938
sizer,16.0613
sizer,22.8547
sizer,17.8896
sizer,21.5495
sizer,15.4543
sizer,20.5346
sizer,20.0711
sizer,17.2832
sizer,16.7597
sizer,21.7848
sizer,23.3293
sizer,19.4436
sizer,16.1679
sizer,17.2814
sizer,22.7869
sizer,22.1123
sizer,19.5595
sizer,20.1091
sizer,19.1322
sizer,24.2224
sizer,22.0646
sizer,18.7433
sizer,21.1163
sizer,18.7644
sizer,18.0500
sizer,18.8928
sizer,20.7123
sizer,20.4303
sizer,17.5632
sizer,19.3960
sizer,22.5690
sizer,17.6811
sizer,23.3434
sizer,16.2915
sizer,16.3884
sizer,20.0604
sizer,21.0051
sizer,24.9164
sizer,17.8699
sizer,21.6150
sizer,20.3319
sizer,20.8041
sizer,17.8832
sizer,24.6748
sizer,23.0336
sizer,16.9265
sizer,24.0291
sizer,19.7593
sizer,19.9688
sizer,21.5662
sizer,16.7311
sizer,22.5524
sizer,18.1461
sizer,23.2768
sizer,17.2061
sizer,21.2094
sizer,20.8750
sizer,21.6849
sizer,21.4576
sizer,21.2943
sizer,19.2373
sizer,23.5529
sizer,16.6947
sizer,17.5461
sizer,18.9771
sizer,20.1291
sizer,23.1217
sizer,20.7123
sizer,22.9315
sizer,24.2037
sizer,19.6151
sizer,17.9180
sizer,20.3125
sizer,17.1272
sizer,22.3196
sizer,22.2961
sizer,21.4226
sizer,19.4130
sizer,20.1512
sizer,22.4380
sizer,22.0691
sizer,20.5061
sizer,21.2592
sizer,22.3752
sizer,24.6528
sizer,20.2202
sizer,18.9153
sizer,17.1411
sizer,19.4449
sizer,24.2882
sizer,25.6051
sizer,17.3318
sizer,20.6454
sizer,22.1051
sizer,20.2204
sizer,21.3925
sizer,20.1153
sizer,18.8543
sizer,17.5939
sizer,20.0504
sizer,16.9363
sizer,20.9052
sizer,20.7947
sizer,18.8239
sizer,24.3175
sizer,18.0051
sizer,21.9300
sizer,21.5581
sizer,24.5346
sizer,17.3835
sizer,19.2458
sizer,17.9562
sizer,18.5506
sizer,15.0471
sizer,22.0587
sizer,21.8154
sizer,17.9474
sizer,20.0119
sizer,26.1027
sizer,17.6629
sizer,21.7366
sizer,20.0942
sizer,19.7939
sizer,23.0895
sizer,23.0319
sizer,17.9612
sizer,18.6121
sizer,18.7725
sizer,20.2775
sizer,20.0994
sizer,25.2115
sizer,23.8067
sizer,19.2738
sizer,18.6890
sizer,23.0811
sizer,21.7886
sizer,22.1116
sizer,21.4833
sizer,15.8189
sizer,20.2452
sizer,20.4854
sizer,20.6554
sizer,21.0655
sizer,22.9672
sizer,17.3670
sizer,16.7953
sizer,25.3540
sizer,18.4290
sizer,20.9870
sizer,19.5013
sizer,23.4433
sizer,22.3743
sizer,21.4459
sizer,19.3801
sizer,20.3116
sizer,21.5861
sizer,15.2105
sizer,17.9679
sizer,24.8528
sizer,16.3152
sizer,24.4217
sizer,19.7014
sizer,19.5966
sizer,19.6515
sizer,18.4199
sizer,20.6440
sizer,19.4297
sizer,21.5599
sizer,16.7895
sizer,20.0953
sizer,22.1664
sizer,20.0136
sizer,19.5384
sizer,19.2113
sizer,15.6241
sizer,22.1623
sizer,21.2300
sizer,19.2074
sizer,16.2196
sizer,20.1081
sizer,19.2019
sizer,20.3038
sizer,19.6827
sizer,20.6008
sizer,19.6309
sizer,19.5453
sizer,21.0994
sizer,22.3939
sizer,18.6848
sizer,19.9182
sizer,19.3356
sizer,24.2841
sizer,20.8799
sizer,18.1951
sizer,20.2227
sizer,20.3136
sizer,21.4330
sizer,22.1155
sizer,22.3149
sizer,20.6806
sizer,23.1643
sizer,20.9228
sizer,22.7035
sizer,22.8467
sizer,22.4418
sizer,19.0871
sizer,25.7720
sizer,20.8251
sizer,22.3664
sizer,18.6902
sizer,22.5980
sizer,21.2965
sizer,21.1313
sizer,22.0190
sizer,20.6059
sizer,25.3495
sizer,23.7169
sizer,20.8157
sizer,22.6000
sizer,20.8494
sizer,16.1920
sizer,22.5784
sizer,18.1694
sizer,16.9600
sizer,19.3103
sizer,19.2829
sizer,22.1535
sizer,18.5143
sizer,25.0445
sizer,16.5949
sizer,24.2786
sizer,24.1878
sizer,24.8159
sizer,16.9837
sizer,16.9089
sizer,17.4813
sizer,19.7149
sizer,18.8008
sizer,20.4620
sizer,21.0936
sizer,18.5046
sizer,18.0302
sizer,19.4672
sizer,25.8206
sizer,18.7786
sizer,20.4642
sizer,22.4318
sizer,22.4704
sizer,22.2654
sizer,18.7483
sizer,20.7835
sizer,20.6033
sizer,22.1810
sizer,20.5664
sizer,21.8631
sizer,17.6323
sizer,19.9592
sizer,23.3030
sizer,20.4921
sizer,17.2109
sizer,20.0859
sizer,17.9845
sizer,22.2752
sizer,21.1213
sizer,21.5845
sizer,20.0710
sizer,22.0766
sizer,20.9306
sizer,17.5691
sizer,20.0755
sizer,16.9474
sizer,19.8919
sizer,16.7432
sizer,23.3467
sizer,23.6774
sizer,22.6863
sizer,19.8785
sizer,18.0693
sizer,17.7688
sizer,20.6278
sizer,14.9583
sizer,24.8854
sizer,21.5923
sizer,16.7713
sizer,16.8544
sizer,18.1225
sizer,21.0209
sizer,18.4483
sizer,18.7597
sizer,19.6961
sizer,20.1971
sizer,19.7206
sizer,19.1534
sizer,16.8771
sizer,25.8519
sizer,19.4386
sizer,23.5436
sizer,19.6685
sizer,14.9545
sizer,18.8926
sizer,23.8093
sizer,19.5497
sizer,19.6480
sizer,21.4288
sizer,16.7454
sizer,28.4770
sizer,20.3658
sizer,20.1925
sizer,15.8420
sizer,21.1103
sizer,16.1862
sizer,18.7618
sizer,18.1862
sizer,19.4156
sizer,21.4989
sizer,21.5571
sizer,18.3539
sizer,20.2342
sizer,22.8533
sizer,17.9905
sizer,17.4738
sizer,21.8614
sizer,20.3365
sizer,17.4995
sizer,15.5400
sizer,21.7963
sizer,14.3263
sizer,23.1654
sizer,18.9742
sizer,19.9032
sizer,21.1989
sizer,22.0582
sizer,21.4104
sizer,21.1925
sizer,21.7184
sizer,20.0097
sizer,21.9059
sizer,23.0083
sizer,19.1600
sizer,24.6677
sizer,21.0829
sizer,19.5823
sizer,21.3956
sizer,18.8477
sizer,19.5559
sizer,22.5199
sizer,22.2420
sizer,16.9879
sizer,20.2819
sizer,23.9725
sizer,18.6278
sizer,21.9897
sizer,18.0952
sizer,11.2543
sizer,22.3358
sizer,22.2323
sizer,21.9806
sizer,19.7744
sizer,18.0316
sizer,18.3525
sizer,17.4661
sizer,23.9546
sizer,24.8169
sizer,21.1875
sizer,15.6015
sizer,19.1013
sizer,19.9236
sizer,16.8310
sizer,20.1862
sizer,16.0490
sizer,19.0515
sizer,20.9384
sizer,16.8473
sizer,16.5324
sizer,16.4952
sizer,20.4758
sizer,18.4411
sizer,21.6767
sizer,18.1898
sizer,22.3901
sizer,18.6944
sizer,18.1163
sizer,20.4607
sizer,20.3373
sizer,22.2436
sizer,18.1485
sizer,20.5013
sizer,18.2593
sizer,20.4168
sizer,21.5165
sizer,20.3860
sizer,22.7718
sizer,18.0124
sizer,24.2628
sizer,19.9640
sizer,19.4262
sizer,22.0473
sizer,18.4210
sizer,23.0489
sizer,18.6914
sizer,16.9658
sizer,20.2655
sizer,20.3474
sizer,22.3952
sizer,16.9969
sizer,22.0976
sizer,16.3044
sizer,21.1578
sizer,18.7978
sizer,19.3887
sizer,17.4042
sizer,22.7614
sizer,20.7061
sizer,19.8040
sizer,21.9844
sizer,17.4180
sizer,17.0857
sizer,19.6368
sizer,17.7555
sizer,21.5574
sizer,23.8974
sizer,20.7440
sizer,22.3745
sizer,20.9917
sizer,21.7265
sizer,16.5639
sizer,22.0220
sizer,21.9100
sizer,24.1371
sizer,17.0768
sizer,23.8003
sizer,19.8252
sizer,17.9789
sizer,17.0656
sizer,21.3123
sizer,18.4678
sizer,20.4710
sizer,18.5435
sizer,19.8619
sizer,21.5580
sizer,17.3383
sizer,18.7451
sizer,21.6577
sizer,17.6596
sizer,18.3327
sizer,20.1114
sizer,17.7444
sizer,19.0365
sizer,17.6065
sizer,22.3004
sizer,16.4389
sizer,22.6891
sizer,20.6407
sizer,17.7326
sizer,18.9089
sizer,18.6597
sizer,19.1917
sizer,23.5558
sizer,21.9830
sizer,20.7082
sizer,18.2889
sizer,19.5068
sizer,17.2055
sizer,18.0014
sizer,18.8787
sizer,15.4136
sizer,23.6667
sizer,19.5895
sizer,21.3369
sizer,21.3400
sizer,19.1788
sizer,18.1813
sizer,19.3986
sizer,18.5702
sizer,21.6333
sizer,19.0267
sizer,21.2237
sizer,21.1940
sizer,21.1629
sizer,26.0514
sizer,14.8948
sizer,24.6563
sizer,21.3225
sizer,20.8737
sizer,22.0439
sizer,22.1877
sizer,21.7719
sizer,20.5836
sizer,17.4603
sizer,18.7007
sizer,22.8335
sizer,16.7031
sizer,16.7743
sizer,19.2956
sizer,21.6958
sizer,18.2954
sizer,22.5189
sizer,19.5281
sizer,19.3432
sizer,21.0526
sizer,25.7568
sizer,23.7908
sizer,15.9861
sizer,20.4023
sizer,17.2274
sizer,20.7268
sizer,21.9945
sizer,18.8735
sizer,23.1404
sizer,19.4096
sizer,26.0579
sizer,22.4586
sizer,23.6873
sizer,15.5513
sizer,18.7120
sizer,20.6770
sizer,20.5274
sizer,18.0360
sizer,20.1518
sizer,22.7085
sizer,22.6293
sizer,20.0080
sizer,18.3954
sizer,21.0619
sizer,20.3234
sizer,20.5413
sizer,17.4852
sizer,21.9592
sizer,15.9722
sizer,20.0927
sizer,17.8964
sizer,20.0787
sizer,17.2124
sizer,22.4366
sizer,18.9521
sizer,20.6244
sizer,18.3201
sizer,21.0021
sizer,20.9885
sizer,18.9724
sizer,22.1729
sizer,23.4750
sizer,19.3387
sizer,15.9014
sizer,18.2829
sizer,19.9517
sizer,21.4579
sizer,20.2106
sizer,19.3503
sizer,18.1427
sizer,19.5548
sizer,23.1917
sizer,16.1131
sizer,19.3093
sizer,26.0020
sizer,20.1272
sizer,19.2528
sizer,15.8443
sizer,16.3111
sizer,18.2528
sizer,21.6899
sizer,18.8855
sizer,19.1818
sizer,16.0175
sizer,17.7419
sizer,16.9436
sizer,18.9943
sizer,18.8031
sizer,18.8387
sizer,23.0152
sizer,19.7376
sizer,21.6561
sizer,20.9827
sizer,21.3972
sizer,22.5504
sizer,18.1724
sizer,23.9047
sizer,20.8143
sizer,13.9879
sizer,19.5700
sizer,16.5656
sizer,20.7115
sizer,19.1894
sizer,18.6774
sizer,20.0582
sizer,21.2028
sizer,15.6100
sizer,22.3010
sizer,23.5203
sizer,18.3282
sizer,20.7212
sizer,15.7540
sizer,17.3432
sizer,21.9171
sizer,19.3573
sizer,22.2006
sizer,23.0932
sizer,19.0945
sizer,17.5797
sizer,15.9365
sizer,22.2967
sizer,16.5869
sizer,18.6629
sizer,22.2975
sizer,18.6121
sizer,22.4239
sizer,20.1981
sizer,19.4084
sizer,18.9833
sizer,22.2589
sizer,21.3398
sizer,19.7816
sizer,19.7622
sizer,24.3782
sizer,19.8523
sizer,15.0002
sizer,18.6056
sizer,20.2214
sizer,20.7068
sizer,18.2689
sizer,17.5887
sizer,21.0235
sizer,22.8876
sizer,21.2588
sizer,14.5484
sizer,19.1670
sizer,27.1710
sizer,16.5236
sizer,22.2310
sizer,22.0102
sizer,15.5646
sizer,21.9312
sizer,25.1279
sizer,17.0465
sizer,18.8539
sizer,21.1804
sizer,22.5392
sizer,18.5675
sizer,18.3385
sizer,16.0598
sizer,20.2842
sizer,23.5158
sizer,19.3044
sizer,21.6720
sizer,20.1756
sizer,19.0086
sizer,20.8036
sizer,19.4394
sizer,26.2775
sizer,18.1112
sizer,22.1940
sizer,23.7080
sizer,22.6956
sizer,26.5359
sizer,19.9556
sizer,18.5925
sizer,19.3505
sizer,18.7414
sizer,21.8581
sizer,24.0855
sizer,16.5843
sizer,18.9106
sizer,17.7266
sizer,20.1963
sizer,20.0087
sizer,21.4897
sizer,21.0503
sizer,20.8702
sizer,19.1259
sizer,16.4247
sizer,22.0716
sizer,23.1924
sizer,20.2946
sizer,17.1649
sizer,21.9841
sizer,23.4277
sizer,19.1240
sizer,17.2434
sizer,16.0599
sizer,21.5098
sizer,18.3917
