draw,young_rls,old_rls,fold,mother_rls
229,17.1698,5.3988,3.1803,26.1147
230,17.8133,5.5648,3.2011,26.7023
231,17.8186,5.8152,3.0641,26.9257
232,19.0627,5.7393,3.3214,28.4187
233,18.3459,5.5348,3.3147,27.4687
234,18.1925,5.8243,3.1235,26.8110
235,17.7626,5.2593,3.3774,26.4813
236,17.3640,5.3543,3.2430,26.0445
237,17.3294,5.6698,3.0564,26.3373
238,17.5590,5.4542,3.2193,26.5265
239,17.6129,5.7560,3.0599,26.7932
240,17.1199,5.4571,3.1372,25.8905
241,18.1816,5.7436,3.1656,27.3698
242,17.2127,5.8724,2.9311,25.8448
243,18.4442,5.6232,3.2800,27.5330
244,17.4916,5.0660,3.4528,26.2983
245,16.8687,5.3016,3.1818,25.5227
246,18.3154,5.1841,3.5330,27.7398
247,19.1440,5.3882,3.5529,28.5797
248,18.5941,5.4738,3.3969,28.0728
249,17.4777,5.5540,3.1469,26.2120
250,17.7091,5.2842,3.3513,26.5975
251,18.7062,5.3790,3.4776,27.8357
252,17.7859,5.3889,3.3005,26.8207
253,18.6508,5.9887,3.1143,27.8702
254,17.8952,5.2112,3.4340,26.9030
255,17.4705,5.5325,3.1578,26.1745
256,19.1980,5.3783,3.5695,28.7235
257,17.9314,5.1053,3.5123,26.8805
258,18.5912,5.8212,3.1937,28.1892
259,18.6167,5.5485,3.3553,27.8887
260,16.6849,5.0359,3.3132,25.0093
261,18.6462,5.7527,3.2413,28.0765
262,18.4042,5.5942,3.2899,27.7793
263,18.0983,5.4778,3.3039,27.4680
264,18.5292,5.3719,3.4493,27.9690
265,18.1435,5.2219,3.4745,27.4987
266,18.5144,5.4581,3.3921,28.0330
267,17.0384,5.4146,3.1468,25.9357
268,18.9292,5.6223,3.3668,28.3315
269,18.4867,5.2414,3.5270,27.5785
270,17.8250,5.4206,3.2884,26.7262
271,17.5766,5.6710,3.0994,26.4105
272,17.6608,4.9327,3.5803,26.7095
273,18.1746,5.6550,3.2139,27.3470
274,17.6920,4.9684,3.5609,26.3642
275,18.5916,5.7066,3.2579,28.1750
276,19.0573,5.8571,3.2537,28.9712
277,17.4846,5.1853,3.3720,26.2418
278,17.8511,4.9489,3.6071,26.8268
279,17.7093,5.2969,3.3433,27.0598
280,18.3344,5.3431,3.4314,27.4762
281,18.6277,5.1748,3.5997,27.7378
282,18.1131,4.9493,3.6597,26.6345
283,18.8193,5.8233,3.2317,28.3552
284,18.8057,5.2905,3.5546,28.0265
285,17.6021,5.7050,3.0854,26.5283
286,17.8194,5.0654,3.5179,26.5287
287,16.4713,5.2915,3.1128,25.0482
288,17.2391,5.6254,3.0645,26.1975
289,17.3391,5.2904,3.2775,26.3200
290,18.8451,5.3980,3.4911,28.3943
291,17.4425,5.3781,3.2432,26.1240
292,17.0485,5.0261,3.3920,25.6055
293,17.4338,5.3309,3.2703,26.0817
294,17.4748,5.3921,3.2408,26.0658
295,17.1275,5.0436,3.3959,25.7782
296,17.9497,4.7390,3.7876,27.0222
297,17.9076,5.1538,3.4746,26.4647
298,17.1860,4.7531,3.6158,25.5772
299,17.3457,5.0233,3.4531,26.0162
300,17.4506,5.5650,3.1358,26.2245
