Vmother_div,Vdaughter,Ddaughter
77.2794,34.1237,4.2711
75.2715,31.9877,3.0959
73.0001,30.2931,2.7136
101.8745,49.2316,10.4096
98.6148,48.7714,14.6085
85.6714,40.1559,7.2382
103.13,50.6408,11.8187
87.427,38.6045,4.8266
102.3932,50.4819,12.2339
92.2265,43.8666,8.4347
84.0262,39.0349,5.6165
91.2606,43.1111,7.941
87.2712,38.5357,4.5157
97.3388,48.0698,14.6372
95.0795,45.4957,8.0861
48.5125,15.524,0.3312
103.5126,48.5185,7.5347
60.861,21.8987,1.2218
102.7135,50.6399,12.5561
87.3482,40.5781,6.8402
90.947,42.6287,6.3791
60.5708,20.6638,0.8477
91.0636,43.3135,7.8232
72.2011,25.9791,1.1256
103.3792,51.1277,13.296
85.1192,40.21,8.541
92.9972,43.2024,6.0721
98.4076,48.4255,13.2413
94.1491,46.2308,11.7639
99.8585,49.3142,14.0952
83.4556,37.4239,4.8039
101.6175,49.3073,10.6355
87.7233,38.7353,4.8175
96.5535,47.2963,10.763
94.9513,43.6621,6.4837
90.922,44.6462,13.7414
58.9486,18.8635,0.4141
97.0649,44.634,6.013
77.4154,30.2558,2.8963
68.3316,26.7057,2.0026
67.7578,23.1156,0.7667
89.3789,41.8937,6.4722
99.3655,48.0191,10.6324
89.9882,41.8045,7.198
91.8229,45.4124,14.1034
86.9065,37.6985,3.5196
73.0124,26.271,1.2752
89.6818,40.2159,4.8826
73.4522,31.8622,2.8616
89.7282,43.3618,10.5187
99.9939,49.4534,14.4454
63.9548,21.8182,0.5101
98.6437,48.8487,13.7839
97.391,48.0957,15.3416
95.5239,46.5164,11.2376
80.1812,34.7811,3.6334
98.0028,48.5313,16.1736
68.3122,25.7051,1.8714
75.348,33.7882,4.5454
90.9014,41.7998,5.9441
100.2098,48.2038,8.5649
60.9157,19.493,0.2086
69.0401,22.0928,0.4095
62.5004,20.0001,0.3205
76.1719,30.747,2.328
52.188,16.7002,0.2515
94.1191,46.3152,11.8448
104.6343,51.1131,12.1293
66.3504,24.9668,1.5966
91.1694,44.8637,13.4434
92.669,45.6877,13.0628
68.7363,23.4494,0.8662
88.0952,38.2141,4.9597
97.5228,48.2313,12.1396
51.5477,16.4953,0.2569
91.8089,45.4641,13.1774
92.8933,45.0741,10.7994
94.7914,44.7791,7.7025
100.3924,49.4955,14.0764
98.471,47.7806,10.9046
53.446,18.2331,0.5683
90.3474,40.5144,4.2539
103.189,50.5466,12.2099
75.2633,28.3207,1.3447
94.5123,44.9538,8.6094
81.1906,33.692,3.2122
84.2493,35.803,3.0648
98.8302,48.941,15.4316
94.3966,40.9475,2.818
93.0593,43.6188,5.8372
98.7307,48.5845,12.2839
92.0248,39.9187,4.4866
86.672,41.8849,8.3802
98.4752,47.7826,10.972
88.3758,41.0555,6.3553
74.4871,29.1114,1.2851
94.2028,46.2572,12.7638
92.3614,44.4284,8.0477
89.9657,41.7941,6.3771
86.872,40.7187,6.7562
93.3988,42.9482,5.646
63.7912,24.0039,1.4635
76.5884,29.9326,1.9064
94.726,43.5585,5.7049
103.1277,51.0033,13.1089
76.5745,28.8141,1.4349
96.5151,46.6416,10.1948
77.4766,32.9248,3.5692
107.4964,52.7849,11.9058
67.2542,22.9438,0.4848
102.178,50.3759,12.4234
86.7248,39.4154,6.3369
104.1975,51.0406,11.6141
95.0603,46.5648,12.921
91.7552,45.2372,12.1242
93.6111,43.0458,5.7878
92.8845,41.6521,4.7335
86.4943,38.1927,4.9103
73.759,29.773,2.3248
92.6483,44.9552,10.1766
86.0546,41.3947,9.5769
97.2013,47.9223,13.3446
89.6013,35.0184,2.0751
101.4591,49.8203,11.0062
